kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,31047,0,1,1,40,0,0,0,0,2,10000,2100
mv_kernel_gpu_mem,27447,1,1,79,128,168016808,80000,80008,168016800,2,10000,2100
mv_kernel_gpu,901,1,1,79,128,8,0,8,0,2,10000,2100
mv_kernel_cpu,33450,0,1,1,40,0,0,0,0,2,10000,2600
mv_kernel_gpu_mem,33234,1,1,79,128,208020808,80000,80008,208020800,2,10000,2600
mv_kernel_gpu,1411,1,1,79,128,8,0,8,0,2,10000,2600
mv_kernel_cpu,37961,0,1,1,40,0,0,0,0,2,10000,3100
mv_kernel_gpu_mem,39424,1,1,79,128,248024808,80000,80008,248024800,2,10000,3100
mv_kernel_gpu,1602,1,1,79,128,8,0,8,0,2,10000,3100
mv_kernel_cpu,39723,0,1,1,40,0,0,0,0,2,10000,3600
mv_kernel_gpu_mem,45680,1,1,79,128,288028808,80000,80008,288028800,2,10000,3600
mv_kernel_gpu,1904,1,1,79,128,8,0,8,0,2,10000,3600
mv_kernel_cpu,40774,0,1,1,40,0,0,0,0,2,10000,4100
mv_kernel_gpu_mem,32282,1,1,79,128,328032808,80000,80008,328032800,2,10000,4100
mv_kernel_gpu,2044,1,1,79,128,8,0,8,0,2,10000,4100
mv_kernel_cpu,45904,0,1,1,40,0,0,0,0,2,10000,4600
mv_kernel_gpu_mem,58186,1,1,79,128,368036808,80000,80008,368036800,2,10000,4600
mv_kernel_gpu,2369,1,1,79,128,8,0,8,0,2,10000,4600
mv_kernel_cpu,50016,0,1,1,40,0,0,0,0,2,10000,5100
mv_kernel_gpu_mem,64898,1,1,79,128,408040808,80000,80008,408040800,2,10000,5100
mv_kernel_gpu,2571,1,1,79,128,8,0,8,0,2,10000,5100
mv_kernel_cpu,51709,0,1,1,40,0,0,0,0,2,10000,5600
mv_kernel_gpu_mem,70776,1,1,79,128,448044808,80000,80008,448044800,2,10000,5600
mv_kernel_gpu,3070,1,1,79,128,8,0,8,0,2,10000,5600
mv_kernel_cpu,15411,0,1,1,40,0,0,0,0,2,10000,600
mv_kernel_gpu_mem,10396,1,1,79,128,48004808,80000,80008,48004800,2,10000,600
mv_kernel_gpu,409,1,1,79,128,8,0,8,0,2,10000,600
mv_kernel_cpu,50353,0,1,1,40,0,0,0,0,2,10000,6100
mv_kernel_gpu_mem,76791,1,1,79,128,488048808,80000,80008,488048800,2,10000,6100
mv_kernel_gpu,3056,1,1,79,128,8,0,8,0,2,10000,6100
mv_kernel_cpu,52286,0,1,1,40,0,0,0,0,2,10000,6600
mv_kernel_gpu_mem,83124,1,1,79,128,528052808,80000,80008,528052800,2,10000,6600
mv_kernel_gpu,3508,1,1,79,128,8,0,8,0,2,10000,6600
mv_kernel_cpu,52768,0,1,1,40,0,0,0,0,2,10000,7100
mv_kernel_gpu_mem,89276,1,1,79,128,568056808,80000,80008,568056800,2,10000,7100
mv_kernel_gpu,3741,1,1,79,128,8,0,8,0,2,10000,7100
mv_kernel_cpu,59543,0,1,1,40,0,0,0,0,2,10000,7600
mv_kernel_gpu_mem,95538,1,1,79,128,608060808,80000,80008,608060800,2,10000,7600
mv_kernel_gpu,4241,1,1,79,128,8,0,8,0,2,10000,7600
mv_kernel_cpu,62330,0,1,1,40,0,0,0,0,2,10000,8100
mv_kernel_gpu_mem,101594,1,1,79,128,648064808,80000,80008,648064800,2,10000,8100
mv_kernel_gpu,4203,1,1,79,128,8,0,8,0,2,10000,8100
mv_kernel_cpu,65999,0,1,1,40,0,0,0,0,2,10000,8600
mv_kernel_gpu_mem,108889,1,1,79,128,688068808,80000,80008,688068800,2,10000,8600
mv_kernel_gpu,4503,1,1,79,128,8,0,8,0,2,10000,8600
mv_kernel_cpu,64243,0,1,1,40,0,0,0,0,2,10000,9100
mv_kernel_gpu_mem,69645,1,1,79,128,728072808,80000,80008,728072800,2,10000,9100
mv_kernel_gpu,4769,1,1,79,128,8,0,8,0,2,10000,9100
mv_kernel_cpu,65178,0,1,1,40,0,0,0,0,2,10000,9600
mv_kernel_gpu_mem,120578,1,1,79,128,768076808,80000,80008,768076800,2,10000,9600
mv_kernel_gpu,5522,1,1,79,128,8,0,8,0,2,10000,9600
mv_kernel_cpu,15664,0,1,1,40,0,0,0,0,2,1000,100
mv_kernel_gpu_mem,1108,1,1,8,128,800808,8000,8008,800800,2,1000,100
mv_kernel_gpu,79,1,1,8,128,8,0,8,0,2,1000,100
mv_kernel_cpu,16403,0,1,1,40,0,0,0,0,2,1000,1100
mv_kernel_gpu_mem,3218,1,1,8,128,8808808,8000,8008,8808800,2,1000,1100
mv_kernel_gpu,257,1,1,8,128,8,0,8,0,2,1000,1100
mv_kernel_cpu,17414,0,1,1,40,0,0,0,0,2,1000,1600
mv_kernel_gpu_mem,3377,1,1,8,128,12812808,8000,8008,12812800,2,1000,1600
mv_kernel_gpu,408,1,1,8,128,8,0,8,0,2,1000,1600
mv_kernel_cpu,16984,0,1,1,40,0,0,0,0,2,1000,2100
mv_kernel_gpu_mem,8049,1,1,8,128,16816808,8000,8008,16816800,2,1000,2100
mv_kernel_gpu,333,1,1,8,128,8,0,8,0,2,1000,2100
mv_kernel_cpu,16577,0,1,1,40,0,0,0,0,2,1000,2600
mv_kernel_gpu_mem,5432,1,1,8,128,20820808,8000,8008,20820800,2,1000,2600
mv_kernel_gpu,358,1,1,8,128,8,0,8,0,2,1000,2600
mv_kernel_cpu,16136,0,1,1,40,0,0,0,0,2,1000,3100
mv_kernel_gpu_mem,5997,1,1,8,128,24824808,8000,8008,24824800,2,1000,3100
mv_kernel_gpu,383,1,1,8,128,8,0,8,0,2,1000,3100
mv_kernel_cpu,22115,0,1,1,40,0,0,0,0,2,1000,3600
mv_kernel_gpu_mem,6279,1,1,8,128,28828808,8000,8008,28828800,2,1000,3600
mv_kernel_gpu,476,1,1,8,128,8,0,8,0,2,1000,3600
mv_kernel_cpu,13252,0,1,1,40,0,0,0,0,2,1000,4100
mv_kernel_gpu_mem,7854,1,1,8,128,32832808,8000,8008,32832800,2,1000,4100
mv_kernel_gpu,440,1,1,8,128,8,0,8,0,2,1000,4100
mv_kernel_cpu,13868,0,1,1,40,0,0,0,0,2,1000,4600
mv_kernel_gpu_mem,7199,1,1,8,128,36836808,8000,8008,36836800,2,1000,4600
mv_kernel_gpu,752,1,1,8,128,8,0,8,0,2,1000,4600
mv_kernel_cpu,14201,0,1,1,40,0,0,0,0,2,1000,5100
mv_kernel_gpu_mem,8764,1,1,8,128,40840808,8000,8008,40840800,2,1000,5100
mv_kernel_gpu,610,1,1,8,128,8,0,8,0,2,1000,5100
mv_kernel_cpu,14636,0,1,1,40,0,0,0,0,2,1000,5600
mv_kernel_gpu_mem,10752,1,1,8,128,44844808,8000,8008,44844800,2,1000,5600
mv_kernel_gpu,776,1,1,8,128,8,0,8,0,2,1000,5600
mv_kernel_cpu,16163,0,1,1,40,0,0,0,0,2,1000,600
mv_kernel_gpu_mem,1835,1,1,8,128,4804808,8000,8008,4804800,2,1000,600
mv_kernel_gpu,222,1,1,8,128,8,0,8,0,2,1000,600
mv_kernel_cpu,15225,0,1,1,40,0,0,0,0,2,1000,6100
mv_kernel_gpu_mem,10228,1,1,8,128,48848808,8000,8008,48848800,2,1000,6100
mv_kernel_gpu,835,1,1,8,128,8,0,8,0,2,1000,6100
mv_kernel_cpu,16886,0,1,1,40,0,0,0,0,2,1000,6600
mv_kernel_gpu_mem,10883,1,1,8,128,52852808,8000,8008,52852800,2,1000,6600
mv_kernel_gpu,785,1,1,8,128,8,0,8,0,2,1000,6600
mv_kernel_cpu,16570,0,1,1,40,0,0,0,0,2,1000,7100
mv_kernel_gpu_mem,9033,1,1,8,128,56856808,8000,8008,56856800,2,1000,7100
mv_kernel_gpu,843,1,1,8,128,8,0,8,0,2,1000,7100
mv_kernel_cpu,20914,0,1,1,40,0,0,0,0,2,1000,7600
mv_kernel_gpu_mem,10921,1,1,8,128,60860808,8000,8008,60860800,2,1000,7600
mv_kernel_gpu,988,1,1,8,128,8,0,8,0,2,1000,7600
mv_kernel_cpu,17202,0,1,1,40,0,0,0,0,2,1000,8100
mv_kernel_gpu_mem,12971,1,1,8,128,64864808,8000,8008,64864800,2,1000,8100
mv_kernel_gpu,878,1,1,8,128,8,0,8,0,2,1000,8100
mv_kernel_cpu,19400,0,1,1,40,0,0,0,0,2,1000,8600
mv_kernel_gpu_mem,13616,1,1,8,128,68868808,8000,8008,68868800,2,1000,8600
mv_kernel_gpu,987,1,1,8,128,8,0,8,0,2,1000,8600
mv_kernel_cpu,19603,0,1,1,40,0,0,0,0,2,1000,9100
mv_kernel_gpu_mem,14859,1,1,8,128,72872808,8000,8008,72872800,2,1000,9100
mv_kernel_gpu,987,1,1,8,128,8,0,8,0,2,1000,9100
mv_kernel_cpu,20498,0,1,1,40,0,0,0,0,2,1000,9600
mv_kernel_gpu_mem,14917,1,1,8,128,76876808,8000,8008,76876800,2,1000,9600
mv_kernel_gpu,1345,1,1,8,128,8,0,8,0,2,1000,9600
mv_kernel_cpu,7848,0,1,1,40,0,0,0,0,2,100,100
mv_kernel_gpu_mem,979,1,1,1,128,80808,800,808,80800,2,100,100
mv_kernel_gpu,103,1,1,1,128,8,0,8,0,2,100,100
mv_kernel_cpu,31965,0,1,1,40,0,0,0,0,2,100,1100
mv_kernel_gpu_mem,894,1,1,1,128,888808,800,808,888800,2,100,1100
mv_kernel_gpu,301,1,1,1,128,8,0,8,0,2,100,1100
mv_kernel_cpu,31835,0,1,1,40,0,0,0,0,2,100,1600
mv_kernel_gpu_mem,1390,1,1,1,128,1292808,800,808,1292800,2,100,1600
mv_kernel_gpu,273,1,1,1,128,8,0,8,0,2,100,1600
mv_kernel_cpu,32065,0,1,1,40,0,0,0,0,2,100,2100
mv_kernel_gpu_mem,1045,1,1,1,128,1696808,800,808,1696800,2,100,2100
mv_kernel_gpu,298,1,1,1,128,8,0,8,0,2,100,2100
mv_kernel_cpu,31323,0,1,1,40,0,0,0,0,2,100,2600
mv_kernel_gpu_mem,1344,1,1,1,128,2100808,800,808,2100800,2,100,2600
