kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
mv_kernel_cpu,71258,0,1,1,168,0,0,0,0,2,10000,1600
mv_kernel_gpu_mem,29032,1,1,79,128,128012808,80000,80008,128012800,2,10000,1600
mv_kernel_gpu,603,1,1,79,128,8,0,8,0,2,10000,1600
mv_kernel_cpu,98556,0,1,1,168,0,0,0,0,2,10000,2100
mv_kernel_gpu_mem,37474,1,1,79,128,168016808,80000,80008,168016800,2,10000,2100
mv_kernel_gpu,781,1,1,79,128,8,0,8,0,2,10000,2100
mv_kernel_cpu,69950,0,1,1,168,0,0,0,0,2,10000,2600
mv_kernel_gpu_mem,32645,1,1,79,128,208020808,80000,80008,208020800,2,10000,2600
mv_kernel_gpu,807,1,1,79,128,8,0,8,0,2,10000,2600
mv_kernel_cpu,92845,0,1,1,168,0,0,0,0,2,10000,3100
mv_kernel_gpu_mem,54288,1,1,79,128,248024808,80000,80008,248024800,2,10000,3100
mv_kernel_gpu,1010,1,1,79,128,8,0,8,0,2,10000,3100
mv_kernel_cpu,69916,0,1,1,168,0,0,0,0,2,10000,3600
mv_kernel_gpu_mem,44022,1,1,79,128,288028808,80000,80008,288028800,2,10000,3600
mv_kernel_gpu,1090,1,1,79,128,8,0,8,0,2,10000,3600
mv_kernel_cpu,71220,0,1,1,168,0,0,0,0,2,10000,4100
mv_kernel_gpu_mem,68650,1,1,79,128,328032808,80000,80008,328032800,2,10000,4100
mv_kernel_gpu,1158,1,1,79,128,8,0,8,0,2,10000,4100
mv_kernel_cpu,70470,0,1,1,168,0,0,0,0,2,10000,4600
mv_kernel_gpu_mem,55166,1,1,79,128,368036808,80000,80008,368036800,2,10000,4600
mv_kernel_gpu,1303,1,1,79,128,8,0,8,0,2,10000,4600
mv_kernel_cpu,69779,0,1,1,168,0,0,0,0,2,10000,5100
mv_kernel_gpu_mem,85234,1,1,79,128,408040808,80000,80008,408040800,2,10000,5100
mv_kernel_gpu,1472,1,1,79,128,8,0,8,0,2,10000,5100
mv_kernel_cpu,76225,0,1,1,168,0,0,0,0,2,10000,5600
mv_kernel_gpu_mem,93265,1,1,79,128,448044808,80000,80008,448044800,2,10000,5600
mv_kernel_gpu,1611,1,1,79,128,8,0,8,0,2,10000,5600
mv_kernel_cpu,69750,0,1,1,168,0,0,0,0,2,10000,600
mv_kernel_gpu_mem,8777,1,1,79,128,48004808,80000,80008,48004800,2,10000,600
mv_kernel_gpu,269,1,1,79,128,8,0,8,0,2,10000,600

mv_kernel_cpu,70012,0,1,1,168,0,0,0,0,2,10000,6100
mv_kernel_gpu_mem,99983,1,1,79,128,488048808,80000,80008,488048800,2,10000,6100
mv_kernel_gpu,1722,1,1,79,128,8,0,8,0,2,10000,6100

mv_kernel_cpu,70000,0,1,1,168,0,0,0,0,2,10000,6600
mv_kernel_gpu_mem,78918,1,1,79,128,528052808,80000,80008,528052800,2,10000,6600
mv_kernel_gpu,1894,1,1,79,128,8,0,8,0,2,10000,6600

mv_kernel_cpu,70501,0,1,1,168,0,0,0,0,2,10000,7100
mv_kernel_gpu_mem,116944,1,1,79,128,568056808,80000,80008,568056800,2,10000,7100
mv_kernel_gpu,1978,1,1,79,128,8,0,8,0,2,10000,7100
mv_kernel_cpu,70327,0,1,1,168,0,0,0,0,2,10000,7600
mv_kernel_gpu_mem,90395,1,1,79,128,608060808,80000,80008,608060800,2,10000,7600
mv_kernel_gpu,2062,1,1,79,128,8,0,8,0,2,10000,7600

