kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
covariance_kernel2_gpu,1451,1,1,7907,128,24,0,24,0,1,1012000,
covariance_kernel1_gpu_mem,6565,1,1,7907,128,8096024,0,24,8096000,1,1012000,
covariance_kernel2_gpu_mem,9567,1,1,7907,128,16192040,0,24,16192016,1,1012000,
covariance_kernel1_cpu,253,0,1,1,168,0,0,0,0,1,1013000,
covariance_kernel2_cpu,135,0,1,1,168,0,0,0,0,1,1013000,
covariance_kernel1_gpu,1510,1,1,7915,128,24,0,24,0,1,1013000,
covariance_kernel2_gpu,1510,1,1,7915,128,24,0,24,0,1,1013000,
covariance_kernel1_gpu_mem,8465,1,1,7915,128,8104024,0,24,8104000,1,1013000,
covariance_kernel2_gpu_mem,13035,1,1,7915,128,16208040,0,24,16208016,1,1013000,
covariance_kernel1_cpu,380,0,1,1,168,0,0,0,0,1,1014000,
covariance_kernel2_cpu,246,0,1,1,168,0,0,0,0,1,1014000,
covariance_kernel1_gpu,1442,1,1,7922,128,24,0,24,0,1,1014000,
covariance_kernel2_gpu,1442,1,1,7922,128,24,0,24,0,1,1014000,
covariance_kernel1_gpu_mem,6460,1,1,7922,128,8112024,0,24,8112000,1,1014000,
covariance_kernel2_gpu_mem,9645,1,1,7922,128,16224040,0,24,16224016,1,1014000,
covariance_kernel1_cpu,256,0,1,1,168,0,0,0,0,1,1015000,
covariance_kernel2_cpu,130,0,1,1,168,0,0,0,0,1,1015000,
covariance_kernel1_gpu,1509,1,1,7930,128,24,0,24,0,1,1015000,
covariance_kernel2_gpu,1510,1,1,7930,128,24,0,24,0,1,1015000,
covariance_kernel1_gpu_mem,8450,1,1,7930,128,8120024,0,24,8120000,1,1015000,
covariance_kernel2_gpu_mem,13167,1,1,7930,128,16240040,0,24,16240016,1,1015000,
covariance_kernel1_cpu,257,0,1,1,168,0,0,0,0,1,1016000,
covariance_kernel2_cpu,132,0,1,1,168,0,0,0,0,1,1016000,
covariance_kernel1_gpu,1508,1,1,7938,128,24,0,24,0,1,1016000,
covariance_kernel2_gpu,1508,1,1,7938,128,24,0,24,0,1,1016000,
covariance_kernel1_gpu_mem,8378,1,1,7938,128,8128024,0,24,8128000,1,1016000,
covariance_kernel2_gpu_mem,13122,1,1,7938,128,16256040,0,24,16256016,1,1016000,
covariance_kernel1_cpu,255,0,1,1,168,0,0,0,0,1,1017000,
covariance_kernel2_cpu,129,0,1,1,168,0,0,0,0,1,1017000,
covariance_kernel1_gpu,1510,1,1,7946,128,24,0,24,0,1,1017000,
covariance_kernel2_gpu,1519,1,1,7946,128,24,0,24,0,1,1017000,
covariance_kernel1_gpu_mem,8456,1,1,7946,128,8136024,0,24,8136000,1,1017000,
covariance_kernel2_gpu_mem,13116,1,1,7946,128,16272040,0,24,16272016,1,1017000,
covariance_kernel1_cpu,253,0,1,1,168,0,0,0,0,1,1018000,
covariance_kernel2_cpu,130,0,1,1,168,0,0,0,0,1,1018000,
covariance_kernel1_gpu,1514,1,1,7954,128,24,0,24,0,1,1018000,
covariance_kernel2_gpu,1523,1,1,7954,128,24,0,24,0,1,1018000,
covariance_kernel1_gpu_mem,8498,1,1,7954,128,8144024,0,24,8144000,1,1018000,
covariance_kernel2_gpu_mem,13231,1,1,7954,128,16288040,0,24,16288016,1,1018000,
covariance_kernel1_cpu,256,0,1,1,168,0,0,0,0,1,1019000,
covariance_kernel2_cpu,130,0,1,1,168,0,0,0,0,1,1019000,
covariance_kernel1_gpu,1525,1,1,7961,128,24,0,24,0,1,1019000,
covariance_kernel2_gpu,1519,1,1,7961,128,24,0,24,0,1,1019000,
covariance_kernel1_gpu_mem,8555,1,1,7961,128,8152024,0,24,8152000,1,1019000,
covariance_kernel2_gpu_mem,13178,1,1,7961,128,16304040,0,24,16304016,1,1019000,
covariance_kernel1_cpu,251,0,1,1,168,0,0,0,0,1,1020000,
covariance_kernel2_cpu,131,0,1,1,168,0,0,0,0,1,1020000,
covariance_kernel1_gpu,1516,1,1,7969,128,24,0,24,0,1,1020000,
covariance_kernel2_gpu,1517,1,1,7969,128,24,0,24,0,1,1020000,
covariance_kernel1_gpu_mem,8506,1,1,7969,128,8160024,0,24,8160000,1,1020000,
covariance_kernel2_gpu_mem,13182,1,1,7969,128,16320040,0,24,16320016,1,1020000,
