kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,,,
nn_kernel_gpu,301,1,1,79688,128,0,0,0,0,1,10200000,,,
nn_kernel_gpu_mem,20586,1,1,79688,128,81600000,40800000,40800000,81600000,1,10200000,,,
nn_kernel_cpu,67976,0,1,1,128,0,0,0,0,1,1020000,,,
nn_kernel_gpu,149,1,1,7969,128,0,0,0,0,1,1020000,,,
nn_kernel_gpu_mem,3036,1,1,7969,128,8160000,4080000,4080000,8160000,1,1020000,,,
nn_kernel_cpu,67271,0,1,1,128,0,0,0,0,1,10210000,,,
nn_kernel_gpu,302,1,1,79766,128,0,0,0,0,1,10210000,,,
nn_kernel_gpu_mem,20725,1,1,79766,128,81680000,40840000,40840000,81680000,1,10210000,,,
nn_kernel_cpu,67491,0,1,1,128,0,0,0,0,1,10220000,,,
nn_kernel_gpu,307,1,1,79844,128,0,0,0,0,1,10220000,,,
nn_kernel_gpu_mem,20878,1,1,79844,128,81760000,40880000,40880000,81760000,1,10220000,,,
nn_kernel_cpu,68725,0,1,1,128,0,0,0,0,1,10230000,,,
nn_kernel_gpu,304,1,1,79922,128,0,0,0,0,1,10230000,,,
nn_kernel_gpu_mem,20754,1,1,79922,128,81840000,40920000,40920000,81840000,1,10230000,,,
nn_kernel_cpu,68528,0,1,1,128,0,0,0,0,1,10240000,,,
nn_kernel_gpu,318,1,1,80000,128,0,0,0,0,1,10240000,,,
nn_kernel_gpu_mem,20798,1,1,80000,128,81920000,40960000,40960000,81920000,1,10240000,,,
nn_kernel_cpu,68241,0,1,1,128,0,0,0,0,1,10250000,,,
nn_kernel_gpu,308,1,1,80079,128,0,0,0,0,1,10250000,,,
nn_kernel_gpu_mem,20733,1,1,80079,128,82000000,41000000,41000000,82000000,1,10250000,,,
nn_kernel_cpu,67579,0,1,1,128,0,0,0,0,1,10260000,,,
nn_kernel_gpu,302,1,1,80157,128,0,0,0,0,1,10260000,,,
nn_kernel_gpu_mem,20846,1,1,80157,128,82080000,41040000,41040000,82080000,1,10260000,,,
nn_kernel_cpu,67252,0,1,1,128,0,0,0,0,1,10270000,,,
nn_kernel_gpu,305,1,1,80235,128,0,0,0,0,1,10270000,,,
nn_kernel_gpu_mem,20867,1,1,80235,128,82160000,41080000,41080000,82160000,1,10270000,,,
nn_kernel_cpu,67854,0,1,1,128,0,0,0,0,1,10280000,,,
nn_kernel_gpu,308,1,1,80313,128,0,0,0,0,1,10280000,,,
nn_kernel_gpu_mem,19539,1,1,80313,128,82240000,41120000,41120000,82240000,1,10280000,,,
nn_kernel_cpu,68040,0,1,1,128,0,0,0,0,1,10290000,,,
nn_kernel_gpu,307,1,1,80391,128,0,0,0,0,1,10290000,,,
nn_kernel_gpu_mem,20831,1,1,80391,128,82320000,41160000,41160000,82320000,1,10290000,,,
nn_kernel_cpu,67289,0,1,1,128,0,0,0,0,1,10300000,,,
nn_kernel_gpu,307,1,1,80469,128,0,0,0,0,1,10300000,,,
nn_kernel_gpu_mem,20833,1,1,80469,128,82400000,41200000,41200000,82400000,1,10300000,,,
nn_kernel_cpu,67553,0,1,1,128,0,0,0,0,1,1030000,,,
nn_kernel_gpu,152,1,1,8047,128,0,0,0,0,1,1030000,,,
nn_kernel_gpu_mem,3127,1,1,8047,128,8240000,4120000,4120000,8240000,1,1030000,,,
nn_kernel_cpu,69466,0,1,1,128,0,0,0,0,1,10310000,,,
nn_kernel_gpu,309,1,1,80547,128,0,0,0,0,1,10310000,,,
nn_kernel_gpu_mem,20922,1,1,80547,128,82480000,41240000,41240000,82480000,1,10310000,,,
nn_kernel_cpu,68784,0,1,1,128,0,0,0,0,1,10320000,,,
nn_kernel_gpu,307,1,1,80625,128,0,0,0,0,1,10320000,,,
nn_kernel_gpu_mem,20934,1,1,80625,128,82560000,41280000,41280000,82560000,1,10320000,,,
nn_kernel_cpu,67910,0,1,1,128,0,0,0,0,1,10330000,,,
nn_kernel_gpu,294,1,1,80704,128,0,0,0,0,1,10330000,,,
nn_kernel_gpu_mem,20905,1,1,80704,128,82640000,41320000,41320000,82640000,1,10330000,,,
