kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
transpose_kernel_cpu_collapse,178,0,2,1,48,0,0,0,0,2,100,1600
transpose_kernel_gpu_mem,15611,1,1,7,256,1280008,1280000,1280008,1280000,2,100,1600
transpose_kernel_gpu_collapse_mem,8603,1,2,240,256,1280008,1280000,1280008,1280000,2,100,1600
transpose_kernel_gpu,515,1,1,7,256,8,0,8,0,2,100,1600
transpose_kernel_gpu_collapse,1375,1,2,240,256,8,0,8,0,2,100,1600
transpose_kernel_cpu,3841,0,1,1,48,0,0,0,0,2,100,1700
transpose_kernel_cpu_collapse,9893,0,2,1,48,0,0,0,0,2,100,1700
transpose_kernel_gpu_mem,7995,1,1,7,256,1360008,1360000,1360008,1360000,2,100,1700
transpose_kernel_gpu_collapse_mem,1310,1,2,240,256,1360008,1360000,1360008,1360000,2,100,1700
transpose_kernel_gpu,508,1,1,7,256,8,0,8,0,2,100,1700
transpose_kernel_gpu_collapse,447,1,2,240,256,8,0,8,0,2,100,1700
0
transpose_kernel_cpu,8457,0,1,1,48,0,0,0,0,2,100,1800
transpose_kernel_cpu_collapse,7152,0,2,1,48,0,0,0,0,2,100,1800
transpose_kernel_gpu_mem,16397,1,1,8,256,1440008,1440000,1440008,1440000,2,100,1800
transpose_kernel_gpu_collapse_mem,2043,1,2,240,256,1440008,1440000,1440008,1440000,2,100,1800
transpose_kernel_gpu,506,1,1,8,256,8,0,8,0,2,100,1800
transpose_kernel_gpu_collapse,453,1,2,240,256,8,0,8,0,2,100,1800

transpose_kernel_cpu,15406,0,1,1,48,0,0,0,0,2,100,1900
transpose_kernel_cpu_collapse,186,0,2,1,48,0,0,0,0,2,100,1900
transpose_kernel_gpu_mem,5261,1,1,8,256,1520008,1520000,1520008,1520000,2,100,1900
transpose_kernel_gpu_collapse_mem,1401,1,2,240,256,1520008,1520000,1520008,1520000,2,100,1900
transpose_kernel_gpu,513,1,1,8,256,8,0,8,0,2,100,1900
transpose_kernel_gpu_collapse,476,1,2,240,256,8,0,8,0,2,100,1900
0
transpose_kernel_cpu,7988,0,1,1,48,0,0,0,0,2,100,2000
transpose_kernel_cpu_collapse,518,0,2,1,48,0,0,0,0,2,100,2000
transpose_kernel_gpu_mem,7762,1,1,8,256,1600008,1600000,1600008,1600000,2,100,2000
transpose_kernel_gpu_collapse_mem,1314,1,2,240,256,1600008,1600000,1600008,1600000,2,100,2000
transpose_kernel_gpu,506,1,1,8,256,8,0,8,0,2,100,2000
transpose_kernel_gpu_collapse,458,1,2,240,256,8,0,8,0,2,100,2000
00
transpose_kernel_cpu,355,0,1,1,48,0,0,0,0,2,100,200
transpose_kernel_cpu_collapse,96,0,2,1,48,0,0,0,0,2,100,200
transpose_kernel_gpu_mem,1902,1,1,1,256,160008,160000,160008,160000,2,100,200
transpose_kernel_gpu_collapse_mem,904,1,2,79,256,160008,160000,160008,160000,2,100,200
transpose_kernel_gpu,488,1,1,1,256,8,0,8,0,2,100,200
transpose_kernel_gpu_collapse,502,1,2,79,256,8,0,8,0,2,100,200
0
0
transpose_kernel_cpu,3398,0,1,1,48,0,0,0,0,2,100,2100
transpose_kernel_cpu_collapse,25948,0,2,1,48,0,0,0,0,2,100,2100
transpose_kernel_gpu_mem,19999,1,1,9,256,1680008,1680000,1680008,1680000,2,100,2100
transpose_kernel_gpu_collapse_mem,1983,1,2,240,256,1680008,1680000,1680008,1680000,2,100,2100
transpose_kernel_gpu,521,1,1,9,256,8,0,8,0,2,100,2100
transpose_kernel_gpu_collapse,468,1,2,240,256,8,0,8,0,2,100,2100
transpose_kernel_cpu,2979,0,1,1,48,0,0,0,0,2,100,2200
transpose_kernel_cpu_collapse,180,0,2,1,48,0,0,0,0,2,100,2200
transpose_kernel_gpu_mem,17561,1,1,9,256,1760008,1760000,1760008,1760000,2,100,2200
transpose_kernel_gpu_collapse_mem,8084,1,2,240,256,1760008,1760000,1760008,1760000,2,100,2200
transpose_kernel_gpu,557,1,1,9,256,8,0,8,0,2,100,2200
transpose_kernel_gpu_collapse,1331,1,2,240,256,8,0,8,0,2,100,2200
transpose_kernel_cpu,6137,0,1,1,48,0,0,0,0,2,100,2300
transpose_kernel_cpu_collapse,512,0,2,1,48,0,0,0,0,2,100,2300
transpose_kernel_gpu_mem,41649,1,1,9,256,1840008,1840000,1840008,1840000,2,100,2300
transpose_kernel_gpu_collapse_mem,1366,1,2,240,256,1840008,1840000,1840008,1840000,2,100,2300
transpose_kernel_gpu,513,1,1,9,256,8,0,8,0,2,100,2300
transpose_kernel_gpu_collapse,477,1,2,240,256,8,0,8,0,2,100,2300
0
transpose_kernel_cpu,22847,0,1,1,48,0,0,0,0,2,100,2400
transpose_kernel_cpu_collapse,117,0,2,1,48,0,0,0,0,2,100,2400
transpose_kernel_gpu_mem,15881,1,1,10,256,1920008,1920000,1920008,1920000,2,100,2400
transpose_kernel_gpu_collapse_mem,2150,1,2,240,256,1920008,1920000,1920008,1920000,2,100,2400
transpose_kernel_gpu,536,1,1,10,256,8,0,8,0,2,100,2400
transpose_kernel_gpu_collapse,487,1,2,240,256,8,0,8,0,2,100,2400


transpose_kernel_cpu,4692,0,1,1,48,0,0,0,0,2,100,2500
transpose_kernel_cpu_collapse,152,0,2,1,48,0,0,0,0,2,100,2500
transpose_kernel_gpu_mem,16435,1,1,10,256,2000008,2000000,2000008,2000000,2,100,2500
transpose_kernel_gpu_collapse_mem,2124,1,2,240,256,2000008,2000000,2000008,2000000,2,100,2500
transpose_kernel_gpu,509,1,1,10,256,8,0,8,0,2,100,2500
transpose_kernel_gpu_collapse,2687,1,2,240,256,8,0,8,0,2,100,2500
0
transpose_kernel_cpu,9961,0,1,1,48,0,0,0,0,2,100,2600
