kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2
transpose_kernel_cpu_collapse,16246,0,2,1,28,0,0,0,0,2,10000,1800
transpose_kernel_gpu_mem,83381,1,1,15,128,144000008,144000000,144000008,144000000,2,10000,1800
transpose_kernel_gpu_collapse_mem,89467,1,2,140625,128,144000008,144000000,144000008,144000000,2,10000,1800
transpose_kernel_gpu,14421,1,1,15,128,8,0,8,0,2,10000,1800
transpose_kernel_gpu_collapse,6999,1,2,140625,128,8,0,8,0,2,10000,1800
transpose_kernel_cpu,20716,0,1,1,28,0,0,0,0,2,10000,1900
transpose_kernel_cpu_collapse,10273,0,2,1,28,0,0,0,0,2,10000,1900
transpose_kernel_gpu_mem,81388,1,1,15,128,152000008,152000000,152000008,152000000,2,10000,1900
transpose_kernel_gpu_collapse_mem,86768,1,2,148438,128,152000008,152000000,152000008,152000000,2,10000,1900
transpose_kernel_gpu,13890,1,1,15,128,8,0,8,0,2,10000,1900
transpose_kernel_gpu_collapse,6234,1,2,148438,128,8,0,8,0,2,10000,1900
transpose_kernel_cpu,21016,0,1,1,28,0,0,0,0,2,10000,2000
transpose_kernel_cpu_collapse,13536,0,2,1,28,0,0,0,0,2,10000,2000
transpose_kernel_gpu_mem,90544,1,1,16,128,160000008,160000000,160000008,160000000,2,10000,2000
transpose_kernel_gpu_collapse_mem,98508,1,2,156250,128,160000008,160000000,160000008,160000000,2,10000,2000
transpose_kernel_gpu,14618,1,1,16,128,8,0,8,0,2,10000,2000
transpose_kernel_gpu_collapse,6895,1,2,156250,128,8,0,8,0,2,10000,2000
transpose_kernel_cpu,6815,0,1,1,28,0,0,0,0,2,10000,200
transpose_kernel_cpu_collapse,538,0,2,1,28,0,0,0,0,2,10000,200
transpose_kernel_gpu_mem,23538,1,1,2,128,16000008,16000000,16000008,16000000,2,10000,200
transpose_kernel_gpu_collapse_mem,10583,1,2,15625,128,16000008,16000000,16000008,16000000,2,10000,200
transpose_kernel_gpu,14517,1,1,2,128,8,0,8,0,2,10000,200
transpose_kernel_gpu_collapse,883,1,2,15625,128,8,0,8,0,2,10000,200
transpose_kernel_cpu,27514,0,1,1,28,0,0,0,0,2,10000,2100
transpose_kernel_cpu_collapse,11817,0,2,1,28,0,0,0,0,2,10000,2100
transpose_kernel_gpu_mem,89097,1,1,17,128,168000008,168000000,168000008,168000000,2,10000,2100
transpose_kernel_gpu_collapse_mem,98899,1,2,164063,128,168000008,168000000,168000008,168000000,2,10000,2100
transpose_kernel_gpu,15977,1,1,17,128,8,0,8,0,2,10000,2100
transpose_kernel_gpu_collapse,7728,1,2,164063,128,8,0,8,0,2,10000,2100
transpose_kernel_cpu,23453,0,1,1,28,0,0,0,0,2,10000,2200
transpose_kernel_cpu_collapse,10614,0,2,1,28,0,0,0,0,2,10000,2200
transpose_kernel_gpu_mem,92572,1,1,18,128,176000008,176000000,176000008,176000000,2,10000,2200
transpose_kernel_gpu_collapse_mem,104783,1,2,171875,128,176000008,176000000,176000008,176000000,2,10000,2200
transpose_kernel_gpu,15050,1,1,18,128,8,0,8,0,2,10000,2200
transpose_kernel_gpu_collapse,8337,1,2,171875,128,8,0,8,0,2,10000,2200
transpose_kernel_cpu,22771,0,1,1,28,0,0,0,0,2,10000,2300
transpose_kernel_cpu_collapse,22798,0,2,1,28,0,0,0,0,2,10000,2300
transpose_kernel_gpu_mem,102777,1,1,18,128,184000008,184000000,184000008,184000000,2,10000,2300
transpose_kernel_gpu_collapse_mem,115699,1,2,179688,128,184000008,184000000,184000008,184000000,2,10000,2300
transpose_kernel_gpu,15333,1,1,18,128,8,0,8,0,2,10000,2300
