kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu,2016222,1,1,0,0,0,0,3,1000,1000,10000
mm_kernel_gpu_collapse,81214,1,2,0,0,0,0,3,1000,1000,10000
mm_kernel_cpu,109531,0,1,0,0,0,0,3,1000,1000,1000
mm_kernel_cpu_collapse,49704,0,2,0,0,0,0,3,1000,1000,1000
mm_kernel_gpu_mem,207469,1,1,16000000,8000000,8000000,24000000,3,1000,1000,1000
mm_kernel_gpu_mem,5503,1,2,16000000,8000000,8000000,24000000,3,1000,1000,1000
mm_kernel_gpu,199720,1,1,0,0,0,0,3,1000,1000,1000
mm_kernel_gpu_collapse,2229,1,2,0,0,0,0,3,1000,1000,1000
mm_kernel_cpu,155421,0,1,0,0,0,0,3,1000,1000,2000
mm_kernel_cpu_collapse,100585,0,2,0,0,0,0,3,1000,1000,2000
mm_kernel_gpu_mem,427802,1,1,24000000,16000000,16000000,40000000,3,1000,1000,2000
mm_kernel_gpu_mem,9845,1,2,24000000,16000000,16000000,40000000,3,1000,1000,2000
mm_kernel_gpu,399966,1,1,0,0,0,0,3,1000,1000,2000
mm_kernel_gpu_collapse,5623,1,2,0,0,0,0,3,1000,1000,2000
mm_kernel_cpu,191746,0,1,0,0,0,0,3,1000,1000,3000
mm_kernel_cpu_collapse,149795,0,2,0,0,0,0,3,1000,1000,3000
mm_kernel_gpu_mem,614436,1,1,32000000,24000000,24000000,56000000,3,1000,1000,3000
mm_kernel_gpu_mem,18337,1,2,32000000,24000000,24000000,56000000,3,1000,1000,3000
mm_kernel_gpu,601634,1,1,0,0,0,0,3,1000,1000,3000
mm_kernel_gpu_collapse,14220,1,2,0,0,0,0,3,1000,1000,3000
mm_kernel_cpu,260826,0,1,0,0,0,0,3,1000,1000,4000
mm_kernel_cpu_collapse,184967,0,2,0,0,0,0,3,1000,1000,4000
mm_kernel_gpu_mem,818781,1,1,40000000,32000000,32000000,72000000,3,1000,1000,4000
mm_kernel_gpu_mem,33210,1,2,40000000,32000000,32000000,72000000,3,1000,1000,4000
mm_kernel_gpu,803774,1,1,0,0,0,0,3,1000,1000,4000
mm_kernel_gpu_collapse,27285,1,2,0,0,0,0,3,1000,1000,4000
mm_kernel_cpu,413946,0,1,0,0,0,0,3,1000,1000,5000
mm_kernel_cpu_collapse,302023,0,2,0,0,0,0,3,1000,1000,5000
mm_kernel_gpu_mem,1027094,1,1,48000000,40000000,40000000,88000000,3,1000,1000,5000
mm_kernel_gpu_mem,41342,1,2,48000000,40000000,40000000,88000000,3,1000,1000,5000
mm_kernel_gpu,1009006,1,1,0,0,0,0,3,1000,1000,5000
mm_kernel_gpu_collapse,29624,1,2,0,0,0,0,3,1000,1000,5000
mm_kernel_cpu,554248,0,1,0,0,0,0,3,1000,1000,6000
mm_kernel_cpu_collapse,414104,0,2,0,0,0,0,3,1000,1000,6000
mm_kernel_gpu_mem,1229116,1,1,56000000,48000000,48000000,104000000,3,1000,1000,6000
mm_kernel_gpu_mem,55019,1,2,56000000,48000000,48000000,104000000,3,1000,1000,6000
mm_kernel_gpu,1208651,1,1,0,0,0,0,3,1000,1000,6000
mm_kernel_gpu_collapse,45620,1,2,0,0,0,0,3,1000,1000,6000
mm_kernel_cpu,705106,0,1,0,0,0,0,3,1000,1000,7000
mm_kernel_cpu_collapse,557868,0,2,0,0,0,0,3,1000,1000,7000
mm_kernel_gpu_mem,1433173,1,1,64000000,56000000,56000000,120000000,3,1000,1000,7000
mm_kernel_gpu_mem,57522,1,2,64000000,56000000,56000000,120000000,3,1000,1000,7000
mm_kernel_gpu,1410452,1,1,0,0,0,0,3,1000,1000,7000
mm_kernel_gpu_collapse,49677,1,2,0,0,0,0,3,1000,1000,7000
mm_kernel_cpu,883982,0,1,0,0,0,0,3,1000,1000,8000
mm_kernel_cpu_collapse,723538,0,2,0,0,0,0,3,1000,1000,8000
mm_kernel_gpu_mem,1640500,1,1,72000000,64000000,64000000,136000000,3,1000,1000,8000
mm_kernel_gpu_mem,110869,1,2,72000000,64000000,64000000,136000000,3,1000,1000,8000
mm_kernel_gpu,1612408,1,1,0,0,0,0,3,1000,1000,8000
mm_kernel_gpu_collapse,66235,1,2,0,0,0,0,3,1000,1000,8000
mm_kernel_cpu,999206,0,1,0,0,0,0,3,1000,1000,9000
mm_kernel_cpu_collapse,852693,0,2,0,0,0,0,3,1000,1000,9000
mm_kernel_gpu_mem,1844220,1,1,80000000,72000000,72000000,152000000,3,1000,1000,9000
mm_kernel_gpu_mem,74288,1,2,80000000,72000000,72000000,152000000,3,1000,1000,9000
mm_kernel_gpu,1813200,1,1,0,0,0,0,3,1000,1000,9000
mm_kernel_gpu_collapse,55372,1,2,0,0,0,0,3,1000,1000,9000
mm_kernel_cpu,141125,0,1,0,0,0,0,3,1000,2000,1000
mm_kernel_cpu_collapse,108610,0,2,0,0,0,0,3,1000,2000,1000
mm_kernel_gpu_mem,422576,1,1,32000000,8000000,8000000,40000000,3,1000,2000,1000
mm_kernel_gpu_mem,8827,1,2,32000000,8000000,8000000,40000000,3,1000,2000,1000
mm_kernel_gpu,411913,1,1,0,0,0,0,3,1000,2000,1000
mm_kernel_gpu_collapse,4705,1,2,0,0,0,0,3,1000,2000,1000
mm_kernel_cpu,260659,0,1,0,0,0,0,3,1000,2000,2000
mm_kernel_cpu_collapse,167479,0,2,0,0,0,0,3,1000,2000,2000
mm_kernel_gpu_mem,839569,1,1,48000000,16000000,16000000,64000000,3,1000,2000,2000
mm_kernel_gpu_mem,24970,1,2,48000000,16000000,16000000,64000000,3,1000,2000,2000
mm_kernel_gpu,824704,1,1,0,0,0,0,3,1000,2000,2000
mm_kernel_gpu_collapse,20437,1,2,0,0,0,0,3,1000,2000,2000
mm_kernel_cpu,417284,0,1,0,0,0,0,3,1000,2000,3000
mm_kernel_cpu_collapse,314593,0,2,0,0,0,0,3,1000,2000,3000
mm_kernel_gpu_mem,1258591,1,1,64000000,24000000,24000000,88000000,3,1000,2000,3000
mm_kernel_gpu_mem,45784,1,2,64000000,24000000,24000000,88000000,3,1000,2000,3000
mm_kernel_gpu,1239571,1,1,0,0,0,0,3,1000,2000,3000
mm_kernel_gpu_collapse,39258,1,2,0,0,0,0,3,1000,2000,3000
mm_kernel_cpu,2118276,0,1,0,0,0,0,3,1000,2000,10000
mm_kernel_cpu_collapse,1939922,0,2,0,0,0,0,3,1000,2000,10000
mm_kernel_gpu_mem,4210422,1,1,176000000,80000000,80000000,256000000,3,1000,2000,10000
mm_kernel_gpu_mem,191335,1,2,176000000,80000000,80000000,256000000,3,1000,2000,10000
mm_kernel_gpu,4141016,1,1,0,0,0,0,3,1000,2000,10000
mm_kernel_gpu_collapse,173216,1,2,0,0,0,0,3,1000,2000,10000
mm_kernel_cpu,541811,0,1,0,0,0,0,3,1000,2000,4000
mm_kernel_cpu_collapse,434115,0,2,0,0,0,0,3,1000,2000,4000
mm_kernel_gpu_mem,1682290,1,1,80000000,32000000,32000000,112000000,3,1000,2000,4000
mm_kernel_gpu_mem,69137,1,2,80000000,32000000,32000000,112000000,3,1000,2000,4000
mm_kernel_gpu,1659234,1,1,0,0,0,0,3,1000,2000,4000
mm_kernel_gpu_collapse,60866,1,2,0,0,0,0,3,1000,2000,4000
mm_kernel_cpu,740868,0,1,0,0,0,0,3,1000,2000,5000
mm_kernel_cpu_collapse,651612,0,2,0,0,0,0,3,1000,2000,5000
mm_kernel_gpu_mem,2101314,1,1,96000000,40000000,40000000,136000000,3,1000,2000,5000
mm_kernel_gpu_mem,90281,1,2,96000000,40000000,40000000,136000000,3,1000,2000,5000
mm_kernel_gpu,2072586,1,1,0,0,0,0,3,1000,2000,5000
mm_kernel_gpu_collapse,76294,1,2,0,0,0,0,3,1000,2000,5000
mm_kernel_cpu,1001278,0,1,0,0,0,0,3,1000,2000,6000
mm_kernel_cpu_collapse,842810,0,2,0,0,0,0,3,1000,2000,6000
mm_kernel_gpu_mem,2522456,1,1,112000000,48000000,48000000,160000000,3,1000,2000,6000
mm_kernel_gpu_mem,112743,1,2,112000000,48000000,48000000,160000000,3,1000,2000,6000
mm_kernel_gpu,2488730,1,1,0,0,0,0,3,1000,2000,6000
mm_kernel_gpu_collapse,98808,1,2,0,0,0,0,3,1000,2000,6000
mm_kernel_cpu,1513976,0,1,0,0,0,0,3,1000,2000,7000
mm_kernel_cpu_collapse,1611863,0,2,0,0,0,0,3,1000,2000,7000
mm_kernel_gpu_mem,2890217,1,1,128000000,56000000,56000000,184000000,3,1000,2000,7000
mm_kernel_gpu_mem,128346,1,2,128000000,56000000,56000000,184000000,3,1000,2000,7000
mm_kernel_gpu,2862208,1,1,0,0,0,0,3,1000,2000,7000
mm_kernel_gpu_collapse,115093,1,2,0,0,0,0,3,1000,2000,7000
mm_kernel_cpu,1618023,0,1,0,0,0,0,3,1000,2000,8000
mm_kernel_cpu_collapse,1447634,0,2,0,0,0,0,3,1000,2000,8000
