kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,5816546,1,2,703125,128,1520000008,720000000,720000008,2240000000,3,10000,10000,9000
mm_kernel_gpu,21874859,1,1,79,128,8,0,8,0,3,10000,10000,9000
mm_kernel_gpu_collapse,5632047,1,2,703125,128,8,0,8,0,3,10000,10000,9000
mm_kernel_cpu,1085436,0,1,1,80,0,0,0,0,3,10000,1000,10000
mm_kernel_cpu_collapse,873903,0,2,1,80,0,0,0,0,3,10000,1000,10000
mm_kernel_gpu_mem,2646407,1,1,79,128,160000008,800000000,800000008,960000000,3,10000,1000,10000
mm_kernel_gpu_mem,724312,1,2,781250,128,160000008,800000000,800000008,960000000,3,10000,1000,10000
mm_kernel_gpu,2485707,1,1,79,128,8,0,8,0,3,10000,1000,10000
mm_kernel_gpu_collapse,634771,1,2,781250,128,8,0,8,0,3,10000,1000,10000
mm_kernel_cpu,131617,0,1,1,80,0,0,0,0,3,10000,1000,1000
mm_kernel_cpu_collapse,85108,0,2,1,80,0,0,0,0,3,10000,1000,1000
mm_kernel_gpu_mem,320109,1,1,79,128,88000008,80000000,80000008,168000000,3,10000,1000,1000
mm_kernel_gpu_mem,34351,1,2,78125,128,88000008,80000000,80000008,168000000,3,10000,1000,1000
mm_kernel_gpu,247951,1,1,79,128,8,0,8,0,3,10000,1000,1000
mm_kernel_gpu_collapse,18668,1,2,78125,128,8,0,8,0,3,10000,1000,1000
mm_kernel_cpu,182224,0,1,1,80,0,0,0,0,3,10000,1000,2000
mm_kernel_cpu_collapse,171859,0,2,1,80,0,0,0,0,3,10000,1000,2000
mm_kernel_gpu_mem,575663,1,1,79,128,96000008,160000000,160000008,256000000,3,10000,1000,2000
mm_kernel_gpu_mem,98191,1,2,156250,128,96000008,160000000,160000008,256000000,3,10000,1000,2000
mm_kernel_gpu,484507,1,1,79,128,8,0,8,0,3,10000,1000,2000
mm_kernel_gpu_collapse,77157,1,2,156250,128,8,0,8,0,3,10000,1000,2000
mm_kernel_cpu,270438,0,1,1,80,0,0,0,0,3,10000,1000,3000
mm_kernel_cpu_collapse,260943,0,2,1,80,0,0,0,0,3,10000,1000,3000
mm_kernel_gpu_mem,821366,1,1,79,128,104000008,240000000,240000008,344000000,3,10000,1000,3000
mm_kernel_gpu_mem,223797,1,2,234375,128,104000008,240000000,240000008,344000000,3,10000,1000,3000
mm_kernel_gpu,748226,1,1,79,128,8,0,8,0,3,10000,1000,3000
