kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_collapse,409192,1,2,781250,128,0,0,0,0,3,10000,1000,10000
mm_kernel_cpu,384659,0,1,1,64,0,0,0,0,3,10000,1000,1000
mm_kernel_cpu_collapse,284375,0,2,1,64,0,0,0,0,3,10000,1000,1000
mm_kernel_gpu_mem,260939,1,1,79,128,88000000,80000000,80000000,168000000,3,10000,1000,1000
mm_kernel_gpu_mem,62300,1,2,78125,128,88000000,80000000,80000000,168000000,3,10000,1000,1000
mm_kernel_gpu,224198,1,1,79,128,0,0,0,0,3,10000,1000,1000
mm_kernel_gpu_collapse,36148,1,2,78125,128,0,0,0,0,3,10000,1000,1000
mm_kernel_cpu,607920,0,1,1,64,0,0,0,0,3,10000,1000,2000
mm_kernel_cpu_collapse,393595,0,2,1,64,0,0,0,0,3,10000,1000,2000
mm_kernel_gpu_mem,501364,1,1,79,128,96000000,160000000,160000000,256000000,3,10000,1000,2000
mm_kernel_gpu_mem,110552,1,2,156250,128,96000000,160000000,160000000,256000000,3,10000,1000,2000
mm_kernel_gpu,462610,1,1,79,128,0,0,0,0,3,10000,1000,2000
mm_kernel_gpu_collapse,74554,1,2,156250,128,0,0,0,0,3,10000,1000,2000
mm_kernel_cpu,744967,0,1,1,64,0,0,0,0,3,10000,1000,3000
mm_kernel_cpu_collapse,553013,0,2,1,64,0,0,0,0,3,10000,1000,3000
mm_kernel_gpu_mem,778954,1,1,79,128,104000000,240000000,240000000,344000000,3,10000,1000,3000
mm_kernel_gpu_mem,187790,1,2,234375,128,104000000,240000000,240000000,344000000,3,10000,1000,3000
mm_kernel_gpu,707192,1,1,79,128,0,0,0,0,3,10000,1000,3000
mm_kernel_gpu_collapse,116525,1,2,234375,128,0,0,0,0,3,10000,1000,3000
mm_kernel_cpu,957605,0,1,1,64,0,0,0,0,3,10000,1000,4000
mm_kernel_cpu_collapse,786115,0,2,1,64,0,0,0,0,3,10000,1000,4000
mm_kernel_gpu_mem,987082,1,1,79,128,112000000,320000000,320000000,432000000,3,10000,1000,4000
mm_kernel_gpu_mem,214143,1,2,312500,128,112000000,320000000,320000000,432000000,3,10000,1000,4000
mm_kernel_gpu,918034,1,1,79,128,0,0,0,0,3,10000,1000,4000
mm_kernel_gpu_collapse,156756,1,2,312500,128,0,0,0,0,3,10000,1000,4000
mm_kernel_cpu,1093108,0,1,1,64,0,0,0,0,3,10000,1000,5000
mm_kernel_cpu_collapse,872354,0,2,1,64,0,0,0,0,3,10000,1000,5000
mm_kernel_gpu_mem,1305971,1,1,79,128,120000000,400000000,400000000,520000000,3,10000,1000,5000
mm_kernel_gpu_mem,307408,1,2,390625,128,120000000,400000000,400000000,520000000,3,10000,1000,5000
mm_kernel_gpu,1165195,1,1,79,128,0,0,0,0,3,10000,1000,5000
mm_kernel_gpu_collapse,198405,1,2,390625,128,0,0,0,0,3,10000,1000,5000
mm_kernel_cpu,1465534,0,1,1,64,0,0,0,0,3,10000,1000,6000
mm_kernel_cpu_collapse,1249983,0,2,1,64,0,0,0,0,3,10000,1000,6000
mm_kernel_gpu_mem,1556881,1,1,79,128,128000000,480000000,480000000,608000000,3,10000,1000,6000
mm_kernel_gpu_mem,364951,1,2,468750,128,128000000,480000000,480000000,608000000,3,10000,1000,6000
mm_kernel_gpu,1425518,1,1,79,128,0,0,0,0,3,10000,1000,6000
mm_kernel_gpu_collapse,239345,1,2,468750,128,0,0,0,0,3,10000,1000,6000
mm_kernel_cpu,1544515,0,1,1,64,0,0,0,0,3,10000,1000,7000
mm_kernel_cpu_collapse,1415321,0,2,1,64,0,0,0,0,3,10000,1000,7000
mm_kernel_gpu_mem,1798571,1,1,79,128,136000000,560000000,560000000,696000000,3,10000,1000,7000
mm_kernel_gpu_mem,422162,1,2,546875,128,136000000,560000000,560000000,696000000,3,10000,1000,7000
mm_kernel_gpu,1624779,1,1,79,128,0,0,0,0,3,10000,1000,7000
mm_kernel_gpu_collapse,283240,1,2,546875,128,0,0,0,0,3,10000,1000,7000
mm_kernel_cpu,2382469,0,1,1,64,0,0,0,0,3,10000,1000,8000
mm_kernel_cpu_collapse,2230132,0,2,1,64,0,0,0,0,3,10000,1000,8000
mm_kernel_gpu_mem,2045608,1,1,79,128,144000000,640000000,640000000,784000000,3,10000,1000,8000
mm_kernel_gpu_mem,491160,1,2,625000,128,144000000,640000000,640000000,784000000,3,10000,1000,8000
mm_kernel_gpu,1889133,1,1,79,128,0,0,0,0,3,10000,1000,8000
mm_kernel_gpu_collapse,320622,1,2,625000,128,0,0,0,0,3,10000,1000,8000
mm_kernel_cpu,2244078,0,1,1,64,0,0,0,0,3,10000,1000,9000
mm_kernel_cpu_collapse,1834639,0,2,1,64,0,0,0,0,3,10000,1000,9000
mm_kernel_gpu_mem,2341070,1,1,79,128,152000000,720000000,720000000,872000000,3,10000,1000,9000
mm_kernel_gpu_mem,556996,1,2,703125,128,152000000,720000000,720000000,872000000,3,10000,1000,9000
mm_kernel_gpu,2125083,1,1,79,128,0,0,0,0,3,10000,1000,9000
mm_kernel_gpu_collapse,369839,1,2,703125,128,0,0,0,0,3,10000,1000,9000
mm_kernel_cpu,3797804,0,1,1,64,0,0,0,0,3,10000,2000,10000
mm_kernel_cpu_collapse,3537274,0,2,1,64,0,0,0,0,3,10000,2000,10000
mm_kernel_gpu_mem,4793775,1,1,79,128,320000000,800000000,800000000,1120000000,3,10000,2000,10000
mm_kernel_gpu_mem,1014551,1,2,781250,128,320000000,800000000,800000000,1120000000,3,10000,2000,10000
mm_kernel_gpu,4669329,1,1,79,128,0,0,0,0,3,10000,2000,10000
mm_kernel_gpu_collapse,801909,1,2,781250,128,0,0,0,0,3,10000,2000,10000
mm_kernel_cpu,622693,0,1,1,64,0,0,0,0,3,10000,2000,1000
mm_kernel_cpu_collapse,446743,0,2,1,64,0,0,0,0,3,10000,2000,1000
mm_kernel_gpu_mem,480513,1,1,79,128,176000000,80000000,80000000,256000000,3,10000,2000,1000
mm_kernel_gpu_mem,106078,1,2,78125,128,176000000,80000000,80000000,256000000,3,10000,2000,1000
mm_kernel_gpu,450632,1,1,79,128,0,0,0,0,3,10000,2000,1000
mm_kernel_gpu_collapse,68948,1,2,78125,128,0,0,0,0,3,10000,2000,1000
mm_kernel_cpu,1084314,0,1,1,64,0,0,0,0,3,10000,2000,2000
mm_kernel_cpu_collapse,797171,0,2,1,64,0,0,0,0,3,10000,2000,2000
mm_kernel_gpu_mem,949230,1,1,79,128,192000000,160000000,160000000,352000000,3,10000,2000,2000
mm_kernel_gpu_mem,192758,1,2,156250,128,192000000,160000000,160000000,352000000,3,10000,2000,2000
mm_kernel_gpu,924923,1,1,79,128,0,0,0,0,3,10000,2000,2000
mm_kernel_gpu_collapse,145294,1,2,156250,128,0,0,0,0,3,10000,2000,2000
mm_kernel_cpu,1252402,0,1,1,64,0,0,0,0,3,10000,2000,3000
mm_kernel_cpu_collapse,1106096,0,2,1,64,0,0,0,0,3,10000,2000,3000
mm_kernel_gpu_mem,1499188,1,1,79,128,208000000,240000000,240000000,448000000,3,10000,2000,3000
mm_kernel_gpu_mem,312056,1,2,234375,128,208000000,240000000,240000000,448000000,3,10000,2000,3000
mm_kernel_gpu,1415900,1,1,79,128,0,0,0,0,3,10000,2000,3000
mm_kernel_gpu_collapse,228930,1,2,234375,128,0,0,0,0,3,10000,2000,3000
mm_kernel_cpu,1924453,0,1,1,64,0,0,0,0,3,10000,2000,4000
mm_kernel_cpu_collapse,1774813,0,2,1,64,0,0,0,0,3,10000,2000,4000
mm_kernel_gpu_mem,1892520,1,1,79,128,224000000,320000000,320000000,544000000,3,10000,2000,4000
mm_kernel_gpu_mem,378524,1,2,312500,128,224000000,320000000,320000000,544000000,3,10000,2000,4000
mm_kernel_gpu,1872165,1,1,79,128,0,0,0,0,3,10000,2000,4000
mm_kernel_gpu_collapse,306312,1,2,312500,128,0,0,0,0,3,10000,2000,4000
mm_kernel_cpu,2047631,0,1,1,64,0,0,0,0,3,10000,2000,5000
mm_kernel_cpu_collapse,1823951,0,2,1,64,0,0,0,0,3,10000,2000,5000
mm_kernel_gpu_mem,2453072,1,1,79,128,240000000,400000000,400000000,640000000,3,10000,2000,5000
mm_kernel_gpu_mem,461532,1,2,390625,128,240000000,400000000,400000000,640000000,3,10000,2000,5000
mm_kernel_gpu,2356557,1,1,79,128,0,0,0,0,3,10000,2000,5000
mm_kernel_gpu_collapse,391957,1,2,390625,128,0,0,0,0,3,10000,2000,5000
mm_kernel_cpu,2508458,0,1,1,64,0,0,0,0,3,10000,2000,6000
mm_kernel_cpu_collapse,2352930,0,2,1,64,0,0,0,0,3,10000,2000,6000
mm_kernel_gpu_mem,2983208,1,1,79,128,256000000,480000000,480000000,736000000,3,10000,2000,6000
mm_kernel_gpu_mem,612033,1,2,468750,128,256000000,480000000,480000000,736000000,3,10000,2000,6000
mm_kernel_gpu,2862125,1,1,79,128,0,0,0,0,3,10000,2000,6000
mm_kernel_gpu_collapse,469889,1,2,468750,128,0,0,0,0,3,10000,2000,6000
mm_kernel_cpu,3215254,0,1,1,64,0,0,0,0,3,10000,2000,7000
mm_kernel_cpu_collapse,2893910,0,2,1,64,0,0,0,0,3,10000,2000,7000
mm_kernel_gpu_mem,3446176,1,1,79,128,272000000,560000000,560000000,832000000,3,10000,2000,7000
mm_kernel_gpu_mem,723857,1,2,546875,128,272000000,560000000,560000000,832000000,3,10000,2000,7000
mm_kernel_gpu,3263855,1,1,79,128,0,0,0,0,3,10000,2000,7000
mm_kernel_gpu_collapse,556963,1,2,546875,128,0,0,0,0,3,10000,2000,7000
mm_kernel_cpu,6039397,0,1,1,64,0,0,0,0,3,10000,2000,8000
mm_kernel_cpu_collapse,6066734,0,2,1,64,0,0,0,0,3,10000,2000,8000
mm_kernel_gpu_mem,3945500,1,1,79,128,288000000,640000000,640000000,928000000,3,10000,2000,8000
mm_kernel_gpu_mem,763348,1,2,625000,128,288000000,640000000,640000000,928000000,3,10000,2000,8000
mm_kernel_gpu,3809163,1,1,79,128,0,0,0,0,3,10000,2000,8000
mm_kernel_gpu_collapse,629921,1,2,625000,128,0,0,0,0,3,10000,2000,8000
mm_kernel_cpu,3831856,0,1,1,64,0,0,0,0,3,10000,2000,9000
mm_kernel_cpu_collapse,3427410,0,2,1,64,0,0,0,0,3,10000,2000,9000
mm_kernel_gpu_mem,4395512,1,1,79,128,304000000,720000000,720000000,1024000000,3,10000,2000,9000
mm_kernel_gpu_mem,879662,1,2,703125,128,304000000,720000000,720000000,1024000000,3,10000,2000,9000
mm_kernel_gpu,4251539,1,1,79,128,0,0,0,0,3,10000,2000,9000
mm_kernel_gpu_collapse,728832,1,2,703125,128,0,0,0,0,3,10000,2000,9000
mm_kernel_cpu,5311016,0,1,1,64,0,0,0,0,3,10000,3000,10000
mm_kernel_cpu_collapse,5263037,0,2,1,64,0,0,0,0,3,10000,3000,10000
mm_kernel_gpu_mem,8753877,1,1,79,128,480000000,800000000,800000000,1280000000,3,10000,3000,10000
mm_kernel_gpu_mem,1584305,1,2,781250,128,480000000,800000000,800000000,1280000000,3,10000,3000,10000
mm_kernel_gpu,8564399,1,1,79,128,0,0,0,0,3,10000,3000,10000
mm_kernel_gpu_collapse,1187547,1,2,781250,128,0,0,0,0,3,10000,3000,10000
