kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,32691912,1,1,40,256,1520000008,720000000,720000008,2240000000,3,10000,10000,9000
mm_kernel_gpu_collapse_mem,9001264,1,2,240,256,1520000008,720000000,720000008,2240000000,3,10000,10000,9000
mm_kernel_gpu,31741215,1,1,40,256,8,0,8,0,3,10000,10000,9000
mm_kernel_gpu_collapse,8819565,1,2,240,256,8,0,8,0,3,10000,10000,9000
mm_kernel_cpu,2850646,0,1,1,48,0,0,0,0,3,10000,1000,10000
mm_kernel_cpu_collapse,1948749,0,2,1,48,0,0,0,0,3,10000,1000,10000
mm_kernel_gpu_mem,4303115,1,1,40,256,160000008,800000000,800000008,960000000,3,10000,1000,10000
mm_kernel_gpu_collapse_mem,1026928,1,2,240,256,160000008,800000000,800000008,960000000,3,10000,1000,10000
mm_kernel_gpu,3909099,1,1,40,256,8,0,8,0,3,10000,1000,10000
mm_kernel_gpu_collapse,841510,1,2,240,256,8,0,8,0,3,10000,1000,10000
mm_kernel_cpu,409677,0,1,1,48,0,0,0,0,3,10000,1000,1000
mm_kernel_cpu_collapse,390479,0,2,1,48,0,0,0,0,3,10000,1000,1000
mm_kernel_gpu_mem,636897,1,1,40,256,88000008,80000000,80000008,168000000,3,10000,1000,1000
mm_kernel_gpu_collapse_mem,96161,1,2,240,256,88000008,80000000,80000008,168000000,3,10000,1000,1000
mm_kernel_gpu,393660,1,1,40,256,8,0,8,0,3,10000,1000,1000
mm_kernel_gpu_collapse,60832,1,2,240,256,8,0,8,0,3,10000,1000,1000
mm_kernel_cpu,548210,0,1,1,48,0,0,0,0,3,10000,1000,2000
mm_kernel_cpu_collapse,379804,0,2,1,48,0,0,0,0,3,10000,1000,2000
mm_kernel_gpu_mem,1048973,1,1,40,256,96000008,160000000,160000008,256000000,3,10000,1000,2000
mm_kernel_gpu_collapse_mem,191526,1,2,240,256,96000008,160000000,160000008,256000000,3,10000,1000,2000
mm_kernel_gpu,781462,1,1,40,256,8,0,8,0,3,10000,1000,2000
mm_kernel_gpu_collapse,141744,1,2,240,256,8,0,8,0,3,10000,1000,2000
mm_kernel_cpu,891092,0,1,1,48,0,0,0,0,3,10000,1000,3000
mm_kernel_cpu_collapse,580222,0,2,1,48,0,0,0,0,3,10000,1000,3000
mm_kernel_gpu_mem,1442258,1,1,40,256,104000008,240000000,240000008,344000000,3,10000,1000,3000
mm_kernel_gpu_collapse_mem,293341,1,2,240,256,104000008,240000000,240000008,344000000,3,10000,1000,3000
mm_kernel_gpu,1163242,1,1,40,256,8,0,8,0,3,10000,1000,3000
mm_kernel_gpu_collapse,227713,1,2,240,256,8,0,8,0,3,10000,1000,3000
mm_kernel_cpu,1321166,0,1,1,48,0,0,0,0,3,10000,1000,4000
mm_kernel_cpu_collapse,875497,0,2,1,48,0,0,0,0,3,10000,1000,4000
mm_kernel_gpu_mem,1850061,1,1,40,256,112000008,320000000,320000008,432000000,3,10000,1000,4000
mm_kernel_gpu_collapse_mem,386841,1,2,240,256,112000008,320000000,320000008,432000000,3,10000,1000,4000
mm_kernel_gpu,1563635,1,1,40,256,8,0,8,0,3,10000,1000,4000
mm_kernel_gpu_collapse,307987,1,2,240,256,8,0,8,0,3,10000,1000,4000
mm_kernel_cpu,1149782,0,1,1,48,0,0,0,0,3,10000,1000,5000
mm_kernel_cpu_collapse,962897,0,2,1,48,0,0,0,0,3,10000,1000,5000
mm_kernel_gpu_mem,2272425,1,1,40,256,120000008,400000000,400000008,520000000,3,10000,1000,5000
mm_kernel_gpu_collapse_mem,496930,1,2,240,256,120000008,400000000,400000008,520000000,3,10000,1000,5000
mm_kernel_gpu,1958657,1,1,40,256,8,0,8,0,3,10000,1000,5000
mm_kernel_gpu_collapse,404482,1,2,240,256,8,0,8,0,3,10000,1000,5000
mm_kernel_cpu,1376115,0,1,1,48,0,0,0,0,3,10000,1000,6000
mm_kernel_cpu_collapse,1154048,0,2,1,48,0,0,0,0,3,10000,1000,6000
mm_kernel_gpu_mem,2670291,1,1,40,256,128000008,480000000,480000008,608000000,3,10000,1000,6000
mm_kernel_gpu_collapse_mem,592400,1,2,240,256,128000008,480000000,480000008,608000000,3,10000,1000,6000
mm_kernel_gpu,2340816,1,1,40,256,8,0,8,0,3,10000,1000,6000
mm_kernel_gpu_collapse,491691,1,2,240,256,8,0,8,0,3,10000,1000,6000
mm_kernel_cpu,1863601,0,1,1,48,0,0,0,0,3,10000,1000,7000
mm_kernel_cpu_collapse,1355878,0,2,1,48,0,0,0,0,3,10000,1000,7000
mm_kernel_gpu_mem,3069043,1,1,40,256,136000008,560000000,560000008,696000000,3,10000,1000,7000
mm_kernel_gpu_collapse_mem,721661,1,2,240,256,136000008,560000000,560000008,696000000,3,10000,1000,7000
mm_kernel_gpu,2728126,1,1,40,256,8,0,8,0,3,10000,1000,7000
mm_kernel_gpu_collapse,597439,1,2,240,256,8,0,8,0,3,10000,1000,7000
mm_kernel_cpu,1726721,0,1,1,48,0,0,0,0,3,10000,1000,8000
mm_kernel_cpu_collapse,1578086,0,2,1,48,0,0,0,0,3,10000,1000,8000
mm_kernel_gpu_mem,3498877,1,1,40,256,144000008,640000000,640000008,784000000,3,10000,1000,8000
mm_kernel_gpu_collapse_mem,781491,1,2,240,256,144000008,640000000,640000008,784000000,3,10000,1000,8000
