kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,N2,N3
mm_kernel_gpu_mem,17914454,1,2,65536,128,1520000008,720000000,720000008,2240000000,3,10000,10000,9000
mm_kernel_gpu,67645739,1,1,79,128,8,0,8,0,3,10000,10000,9000
mm_kernel_gpu_collapse,17271112,1,2,65536,128,8,0,8,0,3,10000,10000,9000
mm_kernel_cpu,24250707,0,1,1,40,0,0,0,0,3,10000,1000,10000
mm_kernel_cpu_collapse,24477984,0,2,1,40,0,0,0,0,3,10000,1000,10000
mm_kernel_gpu_mem,6065021,1,1,79,128,160000008,800000000,800000008,960000000,3,10000,1000,10000
mm_kernel_gpu_mem,2056608,1,2,65536,128,160000008,800000000,800000008,960000000,3,10000,1000,10000
mm_kernel_gpu,5656698,1,1,79,128,8,0,8,0,3,10000,1000,10000
mm_kernel_gpu_collapse,1901836,1,2,65536,128,8,0,8,0,3,10000,1000,10000
mm_kernel_cpu,1993037,0,1,1,40,0,0,0,0,3,10000,1000,1000
mm_kernel_cpu_collapse,2043747,0,2,1,40,0,0,0,0,3,10000,1000,1000
mm_kernel_gpu_mem,536279,1,1,79,128,88000008,80000000,80000008,168000000,3,10000,1000,1000
mm_kernel_gpu_mem,116681,1,2,65536,128,88000008,80000000,80000008,168000000,3,10000,1000,1000
mm_kernel_gpu,507494,1,1,79,128,8,0,8,0,3,10000,1000,1000
mm_kernel_gpu_collapse,93318,1,2,65536,128,8,0,8,0,3,10000,1000,1000
mm_kernel_cpu,4222598,0,1,1,40,0,0,0,0,3,10000,1000,2000
mm_kernel_cpu_collapse,4230119,0,2,1,40,0,0,0,0,3,10000,1000,2000
mm_kernel_gpu_mem,1150424,1,1,79,128,96000008,160000000,160000008,256000000,3,10000,1000,2000
mm_kernel_gpu_mem,353719,1,2,65536,128,96000008,160000000,160000008,256000000,3,10000,1000,2000
mm_kernel_gpu,1037629,1,1,79,128,8,0,8,0,3,10000,1000,2000
mm_kernel_gpu_collapse,309913,1,2,65536,128,8,0,8,0,3,10000,1000,2000
mm_kernel_cpu,7158117,0,1,1,40,0,0,0,0,3,10000,1000,3000
mm_kernel_cpu_collapse,7352567,0,2,1,40,0,0,0,0,3,10000,1000,3000
mm_kernel_gpu_mem,1684249,1,1,79,128,104000008,240000000,240000008,344000000,3,10000,1000,3000
mm_kernel_gpu_mem,240248,1,2,65536,128,104000008,240000000,240000008,344000000,3,10000,1000,3000
mm_kernel_gpu,1620687,1,1,79,128,8,0,8,0,3,10000,1000,3000
