kernel,runtime,gpu,collapse,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
gauss_kernel_cpu,558,0,1,0,0,0,0,1,1056
gauss_kernel_cpu,514,0,1,0,0,0,0,1,1056
gauss_kernel_cpu,546,0,1,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,846,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,819,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,811,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,751,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,777,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,709,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,707,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,728,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,681,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,631,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,661,0,2,0,0,0,0,1,1056
gauss_kernel_cpu_collapse,620,0,2,0,0,0,0,1,1056
gauss_kernel_gpu_mem,10522,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7406,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7283,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7233,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7278,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7212,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7244,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7216,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7236,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7196,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7244,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7234,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_mem,7227,1,1,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,9570,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8267,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8140,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8141,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8131,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8123,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8071,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8110,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8087,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8102,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8062,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,8062,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu_collapse_mem,5748,1,2,8921092,0,8921092,8921088,1,1056
gauss_kernel_gpu,559,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,545,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,541,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,541,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,537,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,551,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,542,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,541,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,539,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,531,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,539,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,541,1,1,4,0,4,0,1,1056
gauss_kernel_gpu,541,1,1,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1462,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1434,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1440,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1445,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1425,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1434,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1431,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1436,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1431,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1428,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1434,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1428,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1435,1,2,4,0,4,0,1,1056
gauss_kernel_gpu_collapse,1425,1,2,4,0,4,0,1,1056
